split_id,n_estimators,num_leaves,learning_rate,colsample_bytree,subsample,best_iteration,val_auroc,val_auprc
5,5000,8,0.05,0.33,0.33,105,0.9458591888598346,0.3750540172017307
5,5000,8,0.05,0.33,0.66,168,0.943814073349831,0.3612911211961922
5,5000,8,0.05,0.66,0.33,141,0.9477825184953222,0.3966012763866445
5,5000,8,0.05,0.66,0.66,154,0.9441052840767092,0.36848173881049967
5,5000,16,0.05,0.33,0.33,57,0.94497007132297,0.3709702485193609
5,5000,16,0.05,0.33,0.66,107,0.9437441204038064,0.37019253691689935
5,5000,16,0.05,0.66,0.33,98,0.944247286944081,0.3870939563690941
5,5000,16,0.05,0.66,0.66,81,0.942618071539765,0.36396513193613045
5,5000,32,0.05,0.33,0.33,57,0.9439125505371053,0.3621184458088104
5,5000,32,0.05,0.33,0.66,22,0.9414426631027406,0.3679056740471506
5,5000,32,0.05,0.66,0.33,45,0.9469381364320104,0.36615853953389055
5,5000,32,0.05,0.66,0.66,86,0.9431062635254909,0.3694669867744397
5,5000,64,0.05,0.33,0.33,57,0.9439124967685073,0.36211844973134905
5,5000,64,0.05,0.33,0.66,61,0.9429256816890396,0.36755425260387387
5,5000,64,0.05,0.66,0.33,45,0.9469380288948144,0.36615852976172275
5,5000,64,0.05,0.66,0.66,50,0.9454173991742003,0.36587594873857576
5,5000,128,0.05,0.33,0.33,57,0.9439124967685073,0.36211844973134905
5,5000,128,0.05,0.33,0.66,61,0.9429257354576374,0.36755426713981126
5,5000,128,0.05,0.66,0.33,45,0.9469380288948144,0.36615852976172275
5,5000,128,0.05,0.66,0.66,50,0.9454174529427984,0.3658759574111211
